Price,Close,High,Low,Open,Volume
Ticker,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA
Date,,,,,
2020-05-28,18.95555877685547,19.55732284544842,18.95555877685547,19.101934466137372,26310350
2020-05-29,18.735998153686523,18.94742934894756,18.467644684372296,18.849846114092408,59365350
2020-06-01,19.240175247192383,19.394682431684025,18.459507816642354,18.56522424643366,43143430
2020-06-02,20.533151626586914,20.573812576071113,19.378416149140605,19.51665860016891,63591770
2020-06-03,21.077993392944336,21.769207356116894,20.980408478836015,21.387006031739997,64590020
2020-06-04,21.687889099121094,21.818000044445682,20.720186810582852,20.95601417859564,48770260
2020-06-05,22.16767692565918,23.338675607326728,22.102619737194768,22.89955195477617,71132050
2020-06-08,23.062192916870117,23.15977614988954,22.37097707003691,22.45229728396129,34939630
2020-06-09,22.606800079345703,22.964606930331282,22.167676436485284,22.41976685142989,56801800
2020-06-10,21.622833251953125,22.907679667854644,21.533381552054443,22.85888721112836,54169280
2020-06-12,21.191843032836914,21.443933453915985,20.834037879293877,21.069863576682582,59624400
2020-06-15,20.69578742980957,21.134912656475525,20.354247103424083,20.411169353722308,41154410
2020-06-16,21.289424896240234,21.606570779517604,20.89909202640638,21.549646809462807,41812320
2020-06-17,21.557781219482422,21.907454861305915,21.26502984472126,21.289426076976277,39371310
2020-06-18,22.403505325317383,22.696255031052186,21.403276737519363,21.54965073731189,59368650
2020-06-19,22.842626571655273,22.964606020006002,22.427897470952466,22.85075807990547,68300870
2020-06-22,22.135147094726562,22.964605269006853,21.883056698018887,22.801966578574383,32212620
2020-06-23,21.84239959716797,22.56614317681886,21.59844237157811,22.525483923578832,65566050
2020-06-24,21.012941360473633,21.891190375861143,20.817773206460185,21.785475643138923,63100730
2020-06-25,21.265029907226562,21.411405595037394,20.74458605038724,21.16744668406919,51012610
2020-06-26,20.907224655151367,21.321953778114043,20.768982182880322,20.907224655151367,43629740
2020-06-29,21.53337860107422,21.56590633238432,20.93974622505313,21.06172564400326,33844030
2020-06-30,20.69578742980957,21.39513450749267,20.69578742980957,21.321947538431356,50302120
2020-07-01,21.236888885498047,21.326393358948028,20.7812319206783,20.830051456188215,43048940
2020-07-02,21.603038787841797,22.17261077918378,21.48912541386678,21.562355561933266,45758130
2020-07-03,21.562349319458008,21.71694758173974,21.31824662036526,21.47284658980213,11265540
2020-07-06,22.56317710876465,22.660817889361905,21.847144717718088,22.066836900850888,32306230
2020-07-07,21.456573486328125,22.54689597784736,21.415890269910157,22.31906757588941,71409030
2020-07-08,21.920372009277344,22.026149072728934,21.56235418130791,21.684405558374262,37387460
2020-07-09,21.928503036499023,22.10751190741412,21.627442817883185,21.985460559713385,47828000
2020-07-10,22.13192367553711,22.221428122578295,21.659994240511452,21.928505874479683,26462040
2020-07-13,21.80645751953125,22.41671271405329,21.80645751953125,22.335344558111082,27259870
2020-07-14,22.172609329223633,22.310935019715956,21.51353462541367,21.765771975276216,31289830
2020-07-15,22.327213287353516,22.62013564189191,22.026154627533597,22.4085814616366,35147420
2020-07-16,21.952919006347656,22.229568703038147,21.904099475846785,22.107519023208134,21423820
2020-07-17,22.148204803466797,22.294665119011693,21.9691958542943,22.058700328880548,35706990
2020-07-20,22.21329116821289,22.400436373509542,21.93664321877907,22.172607947500047,31604870
2020-07-21,22.603858947753906,22.815414796945845,22.262115408953278,22.45739694336631,40799440
2020-07-22,22.026151657104492,22.66081581943607,21.78204887433069,22.66081581943607,50174960
2020-07-23,21.562349319458008,22.083101630378856,21.52980240672265,22.050553010488358,32246940
2020-07-24,21.537940979003906,21.87154641648427,21.245017049563607,21.440298531087016,33216370
2020-07-27,22.62013053894043,22.71777300891502,21.594901675762905,21.66813182108828,54408420
2020-07-28,22.489946365356445,22.99442457223688,22.392305587297894,22.555041924551315,26156680
2020-07-29,23.01883316040039,23.181567776124428,22.685225917799343,22.90491807581572,29878420
2020-07-30,22.628278732299805,22.970020702372974,22.310945683548763,22.6770982821004,32002190
2020-07-31,21.879688262939453,22.766593163321357,21.798321811928712,22.734046241485935,33968220
2020-08-03,22.20941162109375,22.559486761582406,21.574391519365093,22.06286786373,36516810
2020-08-04,20.914949417114258,21.729076678571563,20.68699378390621,21.37086068353035,87785940
2020-08-05,20.89866828918457,21.41156894667399,20.646288383675962,21.28944941715579,54923440
2020-08-06,21.19175148010254,21.411566264073514,20.686993440433955,20.923089915309447,32907160
2020-08-07,20.743980407714844,21.53368509421089,20.678850229948686,20.866099918053518,73269240
2020-08-10,21.012649536132812,21.23246266635599,20.686998556421813,20.776553002869587,33116710
2020-08-11,20.768404006958008,21.403424074527546,20.768404006958008,21.265022878096197,28850250
2020-08-12,20.53230857849121,21.053350010630602,20.279928707771557,20.914948807245715,54517980
2020-08-13,19.946128845214844,20.800963451013594,19.946128845214844,20.727692450207645,45040490
2020-08-14,20.133386611938477,20.524167718282577,19.8403007821804,20.00312624315711,33704660
2020-08-17,19.653043746948242,20.14966249883319,19.41694734359307,20.12523826176664,41571860
2020-08-18,19.734460830688477,20.060111689459045,19.579776245745364,20.043830000574697,46170850
2020-08-19,19.63676643371582,19.881005442552663,19.555352861400728,19.79959187023757,30195660
2020-08-20,19.63676643371582,19.734461695628873,19.16457181374853,19.29483216296593,36590950
2020-08-21,19.604202270507812,19.734462625865383,19.384387493814785,19.46579936185901,26123900
2020-08-24,19.929853439331055,20.214798397712276,19.72632035013959,19.742603748842665,36793900
2020-08-25,19.78330421447754,20.108955017429686,19.63676220720311,20.060108251040898,35207700
2020-08-26,19.36810874938965,19.832162657941947,19.14015307273742,19.78331415889058,33707630
2020-08-27,19.68561363220215,19.94613433621622,19.376244442131206,19.449517171216517,38822300
2020-08-28,19.889144897460938,19.99498271397476,19.661189282683296,19.783308789055578,61749710
2020-08-31,19.17271614074707,19.775171219351254,19.17271614074707,19.677475939694528,49549940
2020-09-01,19.815874099731445,19.815874099731445,19.31925693183657,19.433235594561435,61801080
2020-09-02,19.77516746520996,19.905427813356816,19.457657439574895,19.82401424171082,27687990
2020-09-03,20.25550079345703,20.760260443437403,19.669329288510415,19.70189437211856,89101870
2020-09-04,20.32063102722168,20.58929424894991,19.986837638063864,20.483456445795646,45847890
2020-09-08,19.86471939086914,20.16594598116263,19.758883298297082,19.99497972268343,32161800
2020-09-09,19.889144897460938,20.198514085856253,19.669331835720985,20.027547801800136,32637880
2020-09-10,19.465797424316406,20.076393206306037,19.457656579943993,19.864721003973195,39953650
2020-09-11,19.237838745117188,19.596056337452264,19.07501334319582,19.498359388191375,25682470
2020-09-14,19.57977867126465,19.718179876360022,18.98546620741274,19.368104732787685,47837790
2020-09-15,19.319257736206055,19.726320501495206,19.21341991409535,19.67747372122827,32148160
2020-09-16,19.26226806640625,19.718179312116707,19.24598637597085,19.34368164290881,28187720
2020-09-17,19.28668975830078,19.40066670059358,19.042450769217464,19.13200517908857,27575570
2020-09-18,18.80636215209961,19.22970842884492,18.749372803202796,19.132013134211384,42997240
2020-09-21,18.64352798461914,18.741224950845883,18.27717119370233,18.52141019305245,40229420
2020-09-22,18.80636215209961,18.97732849068104,18.5295579632501,18.602829007197997,29995130
2020-09-23,18.301597595214844,18.830779878783073,18.293456749771288,18.65981358392556,27083430
2020-09-24,18.74936866760254,19.001748550098288,18.25275145644957,18.31787993039735,44039710
2020-09-25,18.651676177978516,18.70866552280977,18.415579659817606,18.570262584204027,23948430
2020-09-28,18.64352798461914,19.457656843713956,18.38300729630348,18.92847291449149,64169710
2020-09-29,18.236469268798828,18.65167463402837,18.155055681763603,18.64353207964873,29812310
2020-09-30,18.31787872314453,18.472563322361065,18.212042611305225,18.38300890090849,24546390
2020-10-01,18.334163665771484,18.39929384902081,18.057359532907526,18.358587911517148,22521510
2020-10-02,18.39115333557129,18.985467549545405,18.18762022815669,18.20390362831768,39030200
2020-10-05,18.586545944213867,18.733088021324455,18.187622239405183,18.496991503696908,25121250
2020-10-06,18.619112014770508,19.03431743516869,18.488851624693353,18.798220905181083,23249490
2020-10-07,18.480701446533203,18.72494043124158,18.374865350276764,18.667951107061857,25075710
2020-10-08,19.5960636138916,19.76702992236548,18.399294330248328,18.496989607677502,69530340
2020-10-09,19.539072036743164,20.035690964614265,19.20528027494453,19.457660161815593,53843460
2020-10-13,19.351823806762695,19.644909627547474,19.22970428774188,19.522790108526657,34113200
2020-10-14,19.294837951660156,19.514652783938843,19.262272854585866,19.449522589790266,24257090
2020-10-15,19.123865127563477,19.319255643685047,18.93661545591988,19.09944088602119,23985830
2020-10-16,18.814495086669922,19.091297450993554,18.79821339846655,19.05873407458681,23387320
2020-10-19,19.018028259277344,19.49836372890436,18.676095693175704,18.928473841257027,42108660
